Version,1,,,,
Question:,A,B,C,D,E
1,0,0,0,0,1
2,1,0,0,0,0
3,0,0,1,0,0
4,0,0,0,0,1
5,1,0,0,0,0
6,0,0,1,0,0
7,1,0,0,0,0
8,0,1,0,0,0
9,0,1,0,0,0
10,0,0,1,0,0
11,0,0,1,0,0
12,1,0,0,0,0
13,0,0,0,1,0
14,0,1,0,0,0
15,0,0,1,0,0
16,0,1,0,0,0
17,0,1,0,0,0
18,0,0,1,0,0
19,0,0,0,1,0
20,1,0,0,0,0
Version,2,,,,
Question:,A,B,C,D,E
1,1,0,0,0,0
2,0,1,0,0,0
3,1,0,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,0,0,1,0,0
7,0,0,0,0,1
8,1,0,0,0,0
9,0,1,0,0,0
10,0,0,1,0,0
11,0,0,1,0,0
12,0,0,1,0,0
13,0,1,0,0,0
14,0,1,0,0,0
15,0,0,1,0,0
16,0,0,0,1,0
17,0,0,1,0,0
18,0,0,0,0,1
19,0,0,0,1,0
20,0,1,0,0,0
Version,3,,,,
Question:,A,B,C,D,E
1,0,1,0,0,0
2,0,0,1,0,0
3,0,0,1,0,0
4,0,0,1,0,0
5,1,0,0,0,0
6,0,1,0,0,0
7,0,1,0,0,0
8,0,0,1,0,0
9,1,0,0,0,0
10,0,1,0,0,0
11,0,0,0,0,1
12,0,1,0,0,0
13,0,0,0,1,0
14,0,0,0,0,1
15,1,0,0,0,0
16,0,0,1,0,0
17,0,0,0,1,0
18,1,0,0,0,0
19,0,0,1,0,0
20,1,0,0,0,0
